Waveform Data,,Waveform Data,
-2.11E-06,0.72,-2.11E-06,0
-2.11E-06,0.72,-2.11E-06,4
-2.11E-06,0.72,-2.11E-06,4
-2.11E-06,0.72,-2.11E-06,4
-2.11E-06,0.72,-2.11E-06,4
-2.11E-06,0.72,-2.11E-06,4
-2.11E-06,0.72,-2.11E-06,4
-2.11E-06,0.72,-2.11E-06,4
-2.10E-06,0.72,-2.10E-06,4
-2.10E-06,0.72,-2.10E-06,8
-2.10E-06,0.72,-2.10E-06,4
-2.10E-06,0.72,-2.10E-06,4
-2.10E-06,0.72,-2.10E-06,4
-2.10E-06,0.72,-2.10E-06,8
-2.10E-06,0.72,-2.10E-06,4
-2.10E-06,0.72,-2.10E-06,4
-2.10E-06,0.72,-2.10E-06,4
-2.10E-06,0.72,-2.10E-06,4
-2.09E-06,0.72,-2.09E-06,4
-2.09E-06,0.72,-2.09E-06,8
-2.09E-06,0.72,-2.09E-06,4
-2.09E-06,0.72,-2.09E-06,4
-2.09E-06,0.72,-2.09E-06,4
-2.09E-06,0.72,-2.09E-06,4
-2.09E-06,0.72,-2.09E-06,4
-2.09E-06,0.64,-2.09E-06,4
-2.09E-06,0.72,-2.09E-06,4
-2.09E-06,0.72,-2.09E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.08E-06,0.72,-2.08E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.72,-2.07E-06,4
-2.07E-06,0.64,-2.07E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.06E-06,0.72,-2.06E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.05E-06,0.72,-2.05E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.04E-06,0.72,-2.04E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.03E-06,0.72,-2.03E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.02E-06,0.72,-2.02E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.64,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.01E-06,0.72,-2.01E-06,4
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,8
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,4
-2.00E-06,0.72,-2.00E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.99E-06,0.72,-1.99E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.98E-06,0.72,-1.98E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.64,-1.97E-06,8
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.97E-06,0.72,-1.97E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.64,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.96E-06,0.72,-1.96E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,8
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.95E-06,0.72,-1.95E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,4
-1.94E-06,0.72,-1.94E-06,8
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.64,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.93E-06,0.72,-1.93E-06,4
-1.92E-06,0.72,-1.92E-06,4
-1.92E-06,0.72,-1.92E-06,8
-1.92E-06,0.72,-1.92E-06,4
-1.92E-06,0.72,-1.92E-06,8
-1.92E-06,0.72,-1.92E-06,4
-1.92E-06,0.72,-1.92E-06,4
-1.92E-06,0.72,-1.92E-06,4
-1.92E-06,0.72,-1.92E-06,4
-1.92E-06,0.72,-1.92E-06,4
-1.92E-06,0.72,-1.92E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.91E-06,0.72,-1.91E-06,4
-1.90E-06,0.72,-1.90E-06,4
