  Time                 , (MAX(V(Cgs:2)-V(Cgs:1)))@1, (MAX(V(Cgs:2)-V(Cgs:1)))@2, (MAX(V(Cgs:2)-V(Cgs:1)))@3, (MAX(V(Cgs:2)-V(Cgs:1)))@4, (MAX(V(Cgs:2)-V(Cgs:1)))@5, (MAX(V(Cgs:2)-V(Cgs:1)))@6, (MAX(V(Cgs:2)-V(Cgs:1)))@7, (MAX(V(Cgs:2)-V(Cgs:1)))@8, (MAX(V(Cgs:2)-V(Cgs:1)))@9, (MAX(V(Cgs:2)-V(Cgs:1)))@10, (MAX(V(Cgs:2)-V(Cgs:1)))@11, (MAX(V(Cgs:2)-V(Cgs:1)))@12, (MAX(V(Cgs:2)-V(Cgs:1)))@13, (MAX(V(Cgs:2)-V(Cgs:1)))@14, (MAX(V(Cgs:2)-V(Cgs:1)))@15, (MAX(V(Cgs:2)-V(Cgs:1)))@16, (MAX(V(Cgs:2)-V(Cgs:1)))@17, (MAX(V(Cgs:2)-V(Cgs:1)))@18, (MAX(V(Cgs:2)-V(Cgs:1)))@19
  9.921822046456e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.922322050263e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.922822054070e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.923322057878e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.923822061685e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.924322065492e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.924822069299e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.925322073107e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.925822076914e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.926322080721e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.926822084528e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.927322088336e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.927822092143e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.928322095950e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.928822099757e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.929322103565e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.929822107372e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.930322111179e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  9.930822114986e-07  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
